1|1|{"datetime": "2010-08-01T12:12:48.000+00:00"}|[{"messageYear":2010,"isComment":false,"lengthCategory":2,"messageCount":122234,"averageMessageLength":105.25672889703355,"sumMessageLength":12865951,"percentageOfMessages":0.2971836190883717},
{"messageYear":2010,"isComment":false,"lengthCategory":3,"messageCount":14743,"averageMessageLength":204.2728752628366,"sumMessageLength":3011595,"percentageOfMessages":0.03584418489307283},
{"messageYear":2010,"isComment":true,"lengthCategory":0,"messageCount":14284,"averageMessageLength":4.184192103052366,"sumMessageLength":59767,"percentageOfMessages":0.03472823285712896},
{"messageYear":2010,"isComment":true,"lengthCategory":1,"messageCount":2101,"averageMessageLength":76.56687291765826,"sumMessageLength":160867,"percentageOfMessages":0.005108094177599268},
{"messageYear":2010,"isComment":true,"lengthCategory":2,"messageCount":4793,"averageMessageLength":92.55247235551846,"sumMessageLength":443604,"percentageOfMessages":0.011653067774028221},
{"messageYear":2010,"isComment":true,"lengthCategory":3,"messageCount":326,"averageMessageLength":175.11963190184048,"sumMessageLength":57089,"percentageOfMessages":0.0007925933850058837}]
1|1|{"datetime": "2010-06-11T09:21:46.000+00:00"}|[{"messageYear":2010,"isComment":false,"lengthCategory":2,"messageCount":65831,"averageMessageLength":105.25252540596375,"sumMessageLength":6928879,"percentageOfMessages":0.2891916112424112},
{"messageYear":2010,"isComment":false,"lengthCategory":3,"messageCount":7943,"averageMessageLength":204.08712073523859,"sumMessageLength":1621064,"percentageOfMessages":0.03489311977789297},
{"messageYear":2010,"isComment":true,"lengthCategory":0,"messageCount":4845,"averageMessageLength":4.185139318885449,"sumMessageLength":20277,"percentageOfMessages":0.02128379268839122},
{"messageYear":2010,"isComment":true,"lengthCategory":1,"messageCount":713,"averageMessageLength":76.60308555399719,"sumMessageLength":54618,"percentageOfMessages":0.003132165982832392},
{"messageYear":2010,"isComment":true,"lengthCategory":2,"messageCount":1635,"averageMessageLength":92.05749235474006,"sumMessageLength":150514,"percentageOfMessages":0.007182456356144405},
{"messageYear":2010,"isComment":true,"lengthCategory":3,"messageCount":109,"averageMessageLength":171.55045871559633,"sumMessageLength":18699,"percentageOfMessages":0.00047883042374296034}]
1|1|{"datetime": "2010-02-26T03:51:21.000+00:00"}|[{"messageYear":2010,"isComment":false,"lengthCategory":2,"messageCount":10241,"averageMessageLength":105.30758714969241,"sumMessageLength":1078455,"percentageOfMessages":0.3529796987557302},
{"messageYear":2010,"isComment":false,"lengthCategory":3,"messageCount":1230,"averageMessageLength":205.37642276422764,"sumMessageLength":252613,"percentageOfMessages":0.0423947885430669},
{"messageYear":2010,"isComment":true,"lengthCategory":0,"messageCount":188,"averageMessageLength":4.148936170212766,"sumMessageLength":780,"percentageOfMessages":0.006479853858615103},
{"messageYear":2010,"isComment":true,"lengthCategory":1,"messageCount":21,"averageMessageLength":76.33333333333333,"sumMessageLength":1603,"percentageOfMessages":0.0007238134629304105},
{"messageYear":2010,"isComment":true,"lengthCategory":2,"messageCount":57,"averageMessageLength":90.84210526315789,"sumMessageLength":5178,"percentageOfMessages":0.0019646365422396855},
{"messageYear":2010,"isComment":true,"lengthCategory":3,"messageCount":3,"averageMessageLength":171.33333333333334,"sumMessageLength":514,"percentageOfMessages":0.00010340192327577293}]
1|1|{"datetime": "2010-08-04T10:58:09.000+00:00"}|[{"messageYear":2010,"isComment":false,"lengthCategory":2,"messageCount":123450,"averageMessageLength":105.26096395301741,"sumMessageLength":12994466,"percentageOfMessages":0.2937663005197129},
{"messageYear":2010,"isComment":false,"lengthCategory":3,"messageCount":14871,"averageMessageLength":204.3100665725237,"sumMessageLength":3038295,"percentageOfMessages":0.03538759542348036},
{"messageYear":2010,"isComment":true,"lengthCategory":0,"messageCount":14867,"averageMessageLength":4.185713324813345,"sumMessageLength":62229,"percentageOfMessages":0.035378076871823184},
{"messageYear":2010,"isComment":true,"lengthCategory":1,"messageCount":2188,"averageMessageLength":76.58180987202925,"sumMessageLength":167561,"percentageOfMessages":0.005206647756477375},
{"messageYear":2010,"isComment":true,"lengthCategory":2,"messageCount":4983,"averageMessageLength":92.56833232992173,"sumMessageLength":461268,"percentageOfMessages":0.01185773572693179},
{"messageYear":2010,"isComment":true,"lengthCategory":3,"messageCount":336,"averageMessageLength":175.11904761904762,"sumMessageLength":58840,"percentageOfMessages":0.0007995583392031068}]
1|1|{"datetime": "2010-07-21T06:06:50.000+00:00"}|[{"messageYear":2010,"isComment":false,"lengthCategory":2,"messageCount":103149,"averageMessageLength":105.25469951235591,"sumMessageLength":10856917,"percentageOfMessages":0.2868628607026053},
{"messageYear":2010,"isComment":false,"lengthCategory":3,"messageCount":12430,"averageMessageLength":204.25905068382946,"sumMessageLength":2538940,"percentageOfMessages":0.03456849177920662},
{"messageYear":2010,"isComment":true,"lengthCategory":0,"messageCount":11027,"averageMessageLength":4.185725945406729,"sumMessageLength":46156,"percentageOfMessages":0.03066667408280864},
{"messageYear":2010,"isComment":true,"lengthCategory":1,"messageCount":1603,"averageMessageLength":76.5776668746101,"sumMessageLength":122754,"percentageOfMessages":0.004458028344494627},
{"messageYear":2010,"isComment":true,"lengthCategory":2,"messageCount":3701,"averageMessageLength":92.56984598757093,"sumMessageLength":342601,"percentageOfMessages":0.010292678043028455},
{"messageYear":2010,"isComment":true,"lengthCategory":3,"messageCount":254,"averageMessageLength":171.9724409448819,"sumMessageLength":43681,"percentageOfMessages":0.0007063875230827419}]
2|2a|{"date": "2010-06-08", "tagClass": "ChristianBishop"}|[{"tag.name":"Pope_John_Paul_II","COALESCE(countMonth1, 0)":411,"COALESCE(countMonth2, 0)":632,"diff":221},
{"tag.name":"Pope_Benedict_XVI","COALESCE(countMonth1, 0)":503,"COALESCE(countMonth2, 0)":648,"diff":145},
{"tag.name":"Pope_Pius_IX","COALESCE(countMonth1, 0)":182,"COALESCE(countMonth2, 0)":294,"diff":112},
{"tag.name":"Pope_Pius_XII","COALESCE(countMonth1, 0)":291,"COALESCE(countMonth2, 0)":388,"diff":97},
{"tag.name":"Pope_Paul_VI","COALESCE(countMonth1, 0)":245,"COALESCE(countMonth2, 0)":333,"diff":88},
{"tag.name":"Pope_John_XXIII","COALESCE(countMonth1, 0)":221,"COALESCE(countMonth2, 0)":301,"diff":80},
{"tag.name":"Pope_Pius_XI","COALESCE(countMonth1, 0)":214,"COALESCE(countMonth2, 0)":287,"diff":73},
{"tag.name":"Pope_Leo_XIII","COALESCE(countMonth1, 0)":195,"COALESCE(countMonth2, 0)":258,"diff":63},
{"tag.name":"Pope_Pius_X","COALESCE(countMonth1, 0)":203,"COALESCE(countMonth2, 0)":254,"diff":51},
{"tag.name":"Pope_Gregory_I","COALESCE(countMonth1, 0)":233,"COALESCE(countMonth2, 0)":261,"diff":28},
{"tag.name":"Pope_Sixtus_V","COALESCE(countMonth1, 0)":3,"COALESCE(countMonth2, 0)":8,"diff":5},
{"tag.name":"Thomas_Becket","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":4,"diff":4},
{"tag.name":"Pope_Clement_VII","COALESCE(countMonth1, 0)":1,"COALESCE(countMonth2, 0)":4,"diff":3},
{"tag.name":"Ambrose","COALESCE(countMonth1, 0)":5,"COALESCE(countMonth2, 0)":6,"diff":1},
{"tag.name":"Charles_Borromeo","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":1,"diff":1},
{"tag.name":"Pope_Benedict_XIV","COALESCE(countMonth1, 0)":1,"COALESCE(countMonth2, 0)":0,"diff":1},
{"tag.name":"Pope_Boniface_VIII","COALESCE(countMonth1, 0)":1,"COALESCE(countMonth2, 0)":2,"diff":1},
{"tag.name":"Pope_Urban_VIII","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":1,"diff":1},
{"tag.name":"Anselm_of_Canterbury","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Augustine_of_Canterbury","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"John_Henry_Newman","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Adrian_IV","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Alexander_III","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Alexander_VI","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Alexander_VII","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Clement_V","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Clement_VIII","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Clement_XI","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Eugene_III","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Eugene_IV","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Gregory_IX","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Gregory_XIII","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Gregory_XVI","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Innocent_III","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Innocent_X","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Innocent_XI","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_John_Paul_I","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Julius_II","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Leo_I","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Leo_X","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Paul_III","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Paul_IV","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Paul_V","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Pius_II","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
{"tag.name":"Pope_Pius_IV","COALESCE(countMonth1, 0)":0,"COALESCE(countMonth2, 0)":0,"diff":0},
